English,Japanese
"`Deck`: gathers cards from each subdeck in order, and stops when the
limit of the selected deck has been exceeded. This is faster, and allows you
to prioritize subdecks that are closer to the top.

`Position`: gathers cards from all decks before they are sorted. This
ensures cards appear in strict position (due #) order, even if the parent limit is
not high enough to see cards from all decks.","`デッキ`：その日に学習する新規カードがそれぞれのサブデッキからサブデッキの並び順で集められ、選択中のデッキの一日あたりのカード出題枚数の上限に達した時点で集めるのを終了します。この設定は速度が最も速く、サブデッキの並び順の上の方の優先順序が高くなる特徴があります。

`位置`：はじめに選択中のデッキ内にあるすべての新規カードが集められます。この方法では新規カード番号（位置）が優先されるため、選択中のデッキの一日あたりのカード出題枚数の上限が低く設定されていても、それぞれのサブデッキからまんべんなくカードを表示することができます。"
deck life,全期間
Deck Options,デッキオプション
Deck Override...,デッキ選択を上書き...
Decks,デッキ
Decks,デッキ
"Deck, then due date",デッキ並び順→デッキ内は期日超過日数多い順
Deck then random notes,デッキの並び順（上から）→ランダム（ノート単位）
Decrease indent,インデントを減らす
Decreasing intervals,間隔が大きい順
Decrement value,値を減らす
Default,デフォルト
Default deck,デフォルトデッキ
Default search text,デフォルトの検索文字列
Delay for { $button },回答「{ $button }」での間隔（秒）
"Delays are typically minutes (eg `1m`) or days (eg `2d`), but hours (eg `1h`) and seconds (eg `30s`) are also supported.",ステップの間隔は、分（例：`1m`）や日数（例：`2d`）で指定するのが一般的ですが、時間（例：`1h`）や秒（例：`30s`）で指定することも可能です。
Delays until reviews are shown again.,次の復習までの間隔日数と復習枚数
Delete,削除
Delete,削除
Delete,削除
(deleted),(削除)
Deleted { $cards } cards.,{ $cards }枚のカードを削除しました。
Deleted { $count } cards with duplicate template.,テンプレートのないカードを{ $count }枚削除しました。
Deleted { $count } cards with missing note.,ノートのないカードを{ $count }枚削除しました。
Deleted { $count } cards with missing template.,テンプレートがない{ $count }枚のカードを削除しました。
Delete Deck,デッキを削除
Delete Empty Cards,白紙カードを削除
Delete Empty Notes,白紙ノートを削除
Delete field from { $val }?,{ $val } からこのフィールドを削除しますか？
Delete Note,ノートを削除
Delete Notes,ノートを削除する
Delete Tags,タグを削除
"Delete the '{ $template }' card type, and its { $cards }?",カードタイプ「{ $template }」とそれを使用している{ $cards }を削除しますか？
Delete this note type and all its cards?,このノートタイプとそのすべてのカードを削除してもよろしいですか？
Delete this unused note type?,この使用されていないノートタイプを削除しますか？
Delete Unused,使用されていないファイルを削除
Delete Unused,使用されていないファイルを削除
Delete unused media?,使用していないメディアファイルを削除しますか？
Delete unused media?,どのカードにも使用されていないメディアファイルを削除します。よろしいですか？
Deleting...,削除中...
Deleting this deck from the deck list will return all remaining cards to their original deck.,このデッキを削除すると、残りのカードもすべて元のデッキに戻ります。
"Depending on your desired retention, this can result in a large number of cards becoming
due, so is not recommended when first switching from SM2.

Use this option sparingly, as it will add a review entry to each of your cards, and
increase the size of your collection.",目標正答率にもよりますが、大量のカードがいっぺんに期日を迎えることになる可能性があるため、初めてSM2スケジューラーからFSRSに切り替える際にこのオプションをオンにすることはおすすめしません。
Descending difficulty,難度が高い順
Descending ease,易しさが高い順
Descending intervals,復習間隔が長い順
Descending position,位置（新規カード番号）の降順
Descending position,位置（降順）
Description,説明
Description,デッキ説明文
"Description to show on overview screen, for current deck:",現在のデッキの概要画面に表示される記述：
Desired retention,目標正答率
Details,詳細
Difficulty,難度
Disable various animations and transitions of the user interface,ユーザーインターフェースのさまざまなアニメーションやトランザクションを無効にします
Discard,破棄
Discard changes?,変更を破棄しますか？
Discard current input?,現在の編集を破棄しますか？
Display Order,表示順序
Distractions,集中の妨げとなる場合の対策
Do not bury siblings,Do not bury siblings
Don't play audio automatically,音声を自動再生しない
double-click image,画像をダブルクリック
double-click to collapse,ダブルクリックで折りたたむ
double-click to expand,ダブルクリックで実寸表示
Download from AnkiWeb,AnkiWeb からダウンロード
Downloading from AnkiWeb...,AnkiWebからダウンロード中...
Due,期日
Due,期日
Due,今日が期日
Due,復習
Due,復習
Due,期日
Due cards only,課題 (期日・予定時刻が到来済み) のカードのみ
"Due date, then deck",期日超過日数が多い順→同日数はデッキの並び順
"Due date, then random",期日超過日数が多い順→同日数はランダム
Due tomorrow,明日が期日
Due Tomorrow,明日が期日
duplicate,重複
Duplicate,重複を許す
Duplicate,複製
Duplicate note added,重複しているノートを追加しました
Early,期日前
Ease,易しさ
Ease,易しさ
Easy,簡単
Easy bonus,復習で「簡単」と回答した場合のボーナス〔「正解」比〕（倍）
Easy interval,「簡単」と回答後の最初の復習間隔（日）
Edit,編集
"Edit ""{ $val }""",「{ $val }」を編集
Edit Current,現在のノートを編集
Edited,今日編集した
Edit HTML,HTML を編集
Editing,編集
Editing Font,フォントを編集
eg. 'deck:current ',例）deck:current
Ellipse,楕円形マスク
Empty,空にする
"Empty card numbers: { $card-numbers }
Fields: { $fields }","白紙カードのカードタイプ番号: { $card-numbers }
各フィールドの内容: { $fields }"
Empty Cards,白紙カード
Empty cards for { $notetype }:,{ $notetype } の白紙カード：
Empty first field: { $val },最初のフィールドが空白：{ $val }
Empty Trash,ごみ箱を空にする
Enable second filter,２つめのフィルターを有効にする
"Enable this if the file contains HTML formatting. E.g. if the file contains the string
'&lt;br&gt;', it will appear as a line break on your card. On the other hand, with this
option disabled, the literal characters '&lt;br&gt;' will be rendered.","ファイルにHTMLの書式が含まれている場合は、このオプションをオンにしてください。

例えば、ファイルに '&lt;br&gt;' という文字列が含まれている場合、このオプションをオンにすると、カード上ではその箇所を改行して表示します。オフにすると、その文字列 '&lt;br&gt;' をそのまま表示します。"
(end),(終了)
End,終り
"Enter an unused shortcut key, or leave empty to disable.",他のショートカットに使用されていないキーを入力するか、空欄（ショートカットなし）にしてください。
"Enter deck to place new { $val } cards in, or leave blank:",カードタイプ「{ $val }」から生成される新規カードを追加するデッキを選択してください。ここでデッキを選択すると、「追加」ウィンドウでのデッキの選択は無視されます。未指定（空欄）のままにしておくこともできます。
Enter new card position (1...{ $val }):,カードの新しい位置を入力してください (1...{ $val }):
Enter tags to add:,追加するタグを指定してください（選択中のノートに追加します）
Enter tags to delete:,選択中のノートから解除するタグを指定してください
Equations,数式
Error details: { $details },エラー詳細：{ $details }
Error details: { $details },エラー詳細：{ $details }
Error executing { $val }.,{ $val } 実行中にエラーが発生しました。
Error in directive '{ $directive }': { $error },指示のエラー'{ $directive }':{ $error }
Error loading image occlusion. Is your Anki version up to date?,画像穴埋め問題タイプのノートの読み込み中にエラーが発生しました。Ankiのバージョンは最新ですか？
Error running { $val },{ $val } を実行中にエラー
Estimated retention: { $num },正答率（推定値）: { $num }
Evaluate,評価
Exclude from unqualified searches (slower),フィールドを指定しない検索では除外（検索速度低下）
Existing notes,既存のノート
Expand,展開
Expand,折りたたみを展開
Expand,展開する
Expand Children,サブアイテムの折りたたみを展開
Expand/Collapse,展開/折りたたみ
Expand field,フィールドを展開
"expected an answer button between 1-4 in ""`{ $context }`"", but found ""`{ $provided }`"".","""`{ $context }`""の回答ボタン1-4の間であるべき箇所に""`{ $provided }`""が入力されています。"
"expected a number in ""`{ $context }`"", but found ""`{ $provided }`"".","""`{ $context }`""の数字であるべき箇所に ""`{ $provided }`""が入力されています。"
"expected a positive whole number in ""`{ $context }`"", but found ""`{ $provided }`"".","""`{ $context }`""の正の整数であるべき箇所に ""`{ $provided }`""が入力されています。"
"expected a whole number in ""`{ $context }`"", but found ""`{ $provided }`"".","""`{ $context }`""の整数であるべき箇所に""`{ $provided }`""が入力されています。"
"expected a whole number less than or equal to 0 in ""`{ $context }`"", but found ""`{ $provided }`"".","""`{ $context }`""の0かそれ未満の整数であるべき箇所に""`{ $provided }`""が入力されています。"
Expected to find a field replacement on the front of the card template.,"表面のカードテンプレートには「{ ""{{表面}}"" }」といったフィールドを指定する置換え文字列が必要です。"
"Expected to find '{ ""{{"" }cloze:Text{ ""}}"" }' or similar on the front and back of the card template.","表面と裏面のカードテンプレートには 「{ ""{{cloze:テキスト}}"" }」といった置換え文字列が必要です。"
Export,エクスポート
Export...,エクスポート...
Exported { $count } media files,{ $count }のメディアファイルをエキスポート
Exporting file...,ファイルをエクスポート中...
Extracted images: { $count },抽出された画像：{ $count }
Extracting data...,データを抽出中...
Failed to import media file: { $debugInfo },メディアファイルのインポートに失敗しました: { $debugInfo }
Field:,フィールド:
Field '{ $field }' not found.,「{ $field }」というフィールドが見つかりません。
Field <b>{ $val }</b> of file is:,ファイルの<b>{ $val }</b>番目のフィールドは：
Field mapping,フィールドの割り当て
Field name:,フィールド名:
Fields,フィールド
Fields,フィールド
Fields...,フィールド...
Field separator,フィールドの区切り
Fields for { $val },{ $val } のフィールド
Fields separated by: { $val },フィールドの区切り: { $val }
File,ファイル
File must contain at least one column that can be mapped to a note field.,ファイルには、ノートのフィールドに割り当てることができる列が少なくとも1つ含まれている必要があります。
Files over 100MB can not be synced with AnkiWeb.,100MBを超えるファイルはAnkiWebと同期することができません。
Files over 100MB can not be synced with AnkiWeb.,100MBを超えるファイルはAnkiWebと同期することができません。
"File version unknown, trying import anyway.",不明のファイルバージョンですが、インポートを試みています。
Fill Empty Fields,内容が空のフィールドも表示
Filter,フィルター
Filter...,フィルター...
Filter:,フィルター：
Filter 2,フィルター２
(filtered),(フィルター)
Filtered,フィルター
Filtered,フィルター適用
Filtered decks can not have child decks.,フィルターデッキにサブデッキは作れません。
Find and Replace,検索して置換
Find Duplicates,重複を検索
Finish,終了
First Card,最初のカード
First field matched: { $val },最初のフィールドが一致しました: { $val }
First Review,今日学習を開始した
First Review,最初の学習日
Fixed { $count } invalid card properties.,無効なプロパティを持っている{ $count }枚のカードを修正しました。
Fixed { $count } missing decks.,見つからないデッキを{ $count }個修正しました。
Fixed { $count } notes with invalid utf8 characters.,無効なutf8の文字が含まれる{ $count }個のノートを修正しました。
Fixed { $count } notes with wrong field count.,正しくないフィールド数をもつ{ $count }個のノートを修正しました。
Fixed { $count } objects with timestamps in the future.,未来の日時のタイムスタンプを持つ{ $count }個のオブジェクトを修正しました。
Fixed { $count } review entries with invalid properties.,無効なプロパティをもつ{ $count }個のエントリーを修正しました。
Fixed tags for { $count } notes.,{ $count }個のノートのタグを修正しました。
Flag,フラグを付ける / 取りはずす
Flag { $number },フラグ{ $number }
Flag Card,カードにフラグを付ける
"`flag:` must be followed by a valid flag number: `1` (red), `2` (orange), `3` (green), `4` (blue), `5` (pink), `6` (turquoise), `7` (purple) or `0` (no flag).","`flag:`に続けて有効なフラグ番号を入力してください：`1` (赤) `2` (橙) `3` (緑) `4` (青) `5` (ピンク), `6` (ターコイズ), `7` (紫)  `0` (フラグなし)"
"`flag:` must be followed by a valid flag number: `1` (red), `2` (orange), `3` (green), `4` (blue) or `0` (no flag).",`flag:`に続けて有効なフラグ番号を入力してください：`1` (赤) `2` (橙) `3` (緑) `4` (青) `0` (フラグなし)
Flags,フラグ
Flip,反転
Float left,左寄せ配置（後に続く内容は右側に回り込ませる）
Float right,右寄せ配置（後に続く内容は左側に回り込ませる）
Folder: { $filename },フォルダ：{ $filename }
Folder: { $filename },フォルダ：{ $filename }
Folder already exists.,使用済みのフォルダー名です。
Folders inside the media folder are not supported.,Ankiはメディアフォルダ内のサブフォルダには対応していません。
Folders inside the media folder are not supported.,Ankiはメディアフォルダ内のサブフォルダには対応していません。
Follow System,システムに従う
Font:,フォント:
Footer,フッター
For advanced users - please see the manual,上級ユーザー向け - 詳細についてはマニュアルを参照してください
Forget,リセット
Form,フォーム
"For more information, see { $link } in the manual.",詳細については、マニュアルの { $link } の項目を参照してください。
"For security reasons, '{ $val }' is not allowed on cards. You can still use it by placing the command in a different package, and importing that package in the LaTeX header instead.",セキュリティ上の理由から'{ $val }' をカードに使用できません。使用するには、別のパッケージにこの命令を配置して、代わりの LaTeX ヘッダを持たせたパッケージをインポートします。
"Found { $count } new cards with a due number >= 1,000,000 - consider repositioning them in the Browse screen.","新規カード番号が1,000,000以上の新規カードが{ $count }枚 見つかりました。ブラウザ画面で再配置を実行することをおすすめします。"
"Found '{ $found }', but expected '{ $expected }'",「{ $found }」は「{ $expected }」ではないですか？
"Found '{ $found }', but expected '{ $expected }'",「{ $found }」は「{ $expected }」ではないですか？
"Found '{ $found }', but missing '{ $missing1 }' or '{ $missing2 }'",「{ $found }」に対応する「{ $missing1 }」または「{ $missing2 }」が欠けています
"Found '{ $found }', but missing '{ $missing1 }' or '{ $missing2 }'",「{ $found }」に対応する「{ $missing1 }」または「{ $missing2 }」が欠けています
"Found '{ $found }', but there is no field called '{ $field }'",「{ $found }」と入力されていますが、「{ $field }」というフィールドが存在しません
"Found '{ $found }', but there is no field called '{ $field }'",「{ $found }」と入力されていますが、このノートタイプには「{ $field }」というフィールドが存在しません
Found { $part } across { $whole }.,{ $whole } の中に { $part } が見つかりました。
From { $hourStart }:00~{ $hourEnd }:00,{ $hourStart }時~{ $hourEnd }時
From Clipboard,クリップボードから
Front,表面
Front Preview,表面のプレビュー
Front Template,表面のテンプレート
Front template has a problem:,表面のテンプレートに問題があります：
Front template has a problem:,表面のテンプレートに不備があります：
FSRS must be enabled first.,先にFSRSを有効にする必要があります。
FSRS parameters,FSRSパラメータ
"FSRS parameters affect how cards are scheduled. Anki will start with default parameters. Once
you've accumulated 1000+ reviews, you can use the option below to optimize the parameters to best
match your performance in decks using this preset.","カードの復習スケジュールを調整する因子となる複数の値。

FSRSを開始する際、パラメータには、デフォルトの値があらかじめ適用されています。"
"FSRS parameters affect how cards are scheduled. Anki will start with default parameters. You can use 
the option below to optimize the parameters to best match your performance in decks using this preset.","カードの復習間隔を調整する（目標正答率以外の）16種類の要因についての変数。

デフォルトでは、ユーザー全般に対して一般的におすすめできる値を使用しています。

「最適化」機能を使うと、このプリセットを使用しているデッキにおけるこれまでの回答成績をもとに、あなた個人とそのデッキに最適化された値を使用することができます。"
Full screen mode is not supported for your video driver. Try switching to a different one from the preferences screen.,使用しているビデオドライバでは、フルスクリーンモードはサポートされていません。[設定] → [表示] の画面で別のドライバに切り替えてみてください。
Full screen only,全画面表示のみ
Future Due,今後の期日
Gathering data...,データを収集中...
General,一般
General,一般
Generated file: { $val },作成されたファイル: { $val }
Generate LaTeX images (security risk),LaTeX画像を自動作成（セキュリティーリスクあり）
Get Params,パラメータを取得
Get Shared,共有デッキをダウンロード
Good,正解
Graduating interval,習得ステップ修了後の最初の復習間隔（日）
Green,グリーン
Green Flag,緑フラグ
Group Selection,選択対象をグループ化
"<h1>Account Required</h1>
A free account is required to keep your collection synchronized. Please <a href=""{ $link }"">sign up</a> for an account, then enter your details below.","<h1>アカウントが必要です</h1>
コレクションを同期するには無料のアカウントが必要です。<a href=""{ $link }"">登録</a>して、下の項目を入力してください。"
Hard,難しい
Hard interval,復習で「難しい」と回答した場合の間隔〔前回比〕（倍）
Have you installed latex and dvipng/dvisvgm?,この機能を使用するには、LaTeX と、dvipng または dvisvgm がインストールされている必要があります。
Header,ヘッダー
Help,ヘルプ
"Hide All, Guess One",ﾏｽｸ1個(1ｸﾞﾙｰﾌﾟ)ごとに1ｶｰﾄﾞ。他ﾏｽｸも表示
Hide bottom bar during review,学習画面でボトムバーを非表示
"Hide One, Guess One",ﾏｽｸ1個(1ｸﾞﾙｰﾌﾟ)ごとに1ｶｰﾄﾞ。他ﾏｽｸ非表示
Hide top bar during review,学習画面でトップバーを非表示
Historical retention,履歴欠落期間の推定正答率
History,履歴
Home,ホーム
Hourly Breakdown,時間帯の分析
hours past midnight,時
"How cards are sorted after they have been gathered. By default, Anki sorts
by card template first, to avoid multiple cards of the same note from being
shown in succession.","その日の学習のために集められた新規カードをどのように並べるのか選択できます。

デフォルトでは、同一ノートから作成されたカードを続けて表示することを防ぐため、まずはカードテンプレート別（例えば、裏表反転ノートの表面カードなど）に並べられます。"
HTML Editor,HTMLエディタ
"<html><head/><body><p><span style="" font-weight:600;"">Backups</span><br/>Anki will create a backup of your collection each time it is closed.</p></body></html>",<b>バックアップ</b><br>Anki はコレクションは閉じた時と同期した時にバックアップを作成します。
Identical,同一
"If adding { $cards } new cards each day, your review limit should be at least { $expected }.",新規カードを一日に{ $cards }枚導入し、各カードの学習を継続していくには、一日の復習枚数の上限を、{ $expected }枚か、それより多い枚数とするのが妥当です。
"If checked, and you or the deck author altered the schema of a notetype, Anki will
merge the two versions instead of keeping both.

Altering a notetype's schema means adding, removing, or reordering fields or templates,
or changing the sort field.
As a counterexample, changing the front side of an existing template does *not* constitute
a schema change.

Warning: This will require a one-way sync, and may mark existing notes as modified.","このオプションがオンの場合、インポート先またはインポート元のノートタイプのスキーマが変更（※）されていれば、Ankiは変更前と変更後のノートタイプをそれぞれ保持するのではなく、一つのノートタイプに統合します。

※ ノートタイプのスキーマの変更とは、フィールドまたはカードタイプの追加・削除・並べ替え、またはソートフィールドの変更のことです。（これに該当しない変更の例：既存のカードタイプの表面のテンプレートの内容の変更）

注意：ノートタイプの統合を行った場合、次回の同期で一方向同期（一方のデータベースをもう片方に上書きする同期）が必要となります。また、既存のノートが変更済みとしてマークされる可能性があります。"
"If enabled, any deck options that the deck sharer included will also be imported.
Otherwise, all decks will be assigned the default preset.","オンにすると、デッキ作成者がデッキに設定した各オプションもすべてインポートします。
オフにすると、インポートするすべてのデッキにデフォルトのプリセットを適用します。"
"If enabled, any previous reviews that the deck sharer included will also be imported.
Otherwise, all cards will be imported as new cards.",オンにすると、このデッキに（デッキ作成者の）以前の学習履歴が含まれている場合、その履歴もインポートします。オフにすると、すべてのカードを新規カードとしてインポートします。
If newer,既存のものより新しい場合は行う
"If set, cards reviewed before the provided date will be ignored when optimizing FSRS parameters.
This can be useful if you imported someone else's scheduling data, or have changed the way you use the answer buttons.","このオプションがオンの場合、FSRSパラメータ値を最適化する際、指定日より前に復習したことのあるカードを無視します。

この設定は、インポートしたデッキに他の人の復習履歴が含まれている場合や、あなたが回答ボタンを選ぶ際の方針が以前と今とでは異なるという場合に適しています。"
"If set, reviews before the provided date will be ignored when optimizing & evaluating FSRS parameters.
This can be useful if you imported someone else's scheduling data, or have changed the way you use the answer buttons.","このオプションがオンの場合、FSRSパラメータ値を最適化・推測する際、指定日より前の復習履歴を無視します。

この設定は、インポートしたデッキに他の人の復習履歴が含まれている場合や、あなたが回答ボタンを選ぶ際の方針が以前と今とでは異なるという場合に適しています。"
"If your actual retention before switching to FSRS was significantly different from 0.9, adjusting
this value will allow Anki to better estimate your memory state when it encounters cards that are
missing review logs. Since review logs typically won't be missing unless you explicitly deleted them
to free up space, most users will not need to adjust this.","FSRSスケジューラーに切り替える前のSM2スケジューラーの学習における実際の正答率が0.9（＝90%）と大幅に異なる場合、この値を実態に即した値に調整することで、復習履歴の全体または一部が欠落しているカードについて、あなたの成績をAnkiがより適切に推定できるようになります。

通常、ユーザーが関連ファイルを（ストレージの空き容量を増やすために）意図的に削除したり、復習履歴を改変するアドオンを使用したりしない限り、復習履歴が欠落することはないため、ほとんどのユーザーはこの値を調整する必要がありません。"
"If you wish to study outside of the regular schedule, you can use the { $customStudy } feature.",通常のスケジュール外で学習したい場合、{ $customStudy }機能を活用することもできます。
Ignore accents in search (slower),検索する際にアクセント記号を無視する（検索速度低下）
Ignore answer times longer than,統計に利用する解答時間の最大値
Ignore case,大文字小文字を区別しない
<ignored>,<無視する>
Ignore field,フィールドを無視する
Ignore lines where first field matches existing note,最初のフィールドが既存のノートと一致する行は無視する
Ignore reviews before,指定日より前の復習を無視
Image,画像
Image Occlusion,画像穴埋め問題
Image Occlusion Mode,作成するカードの種類を選択
Import,インポート
Import any deck presets,デッキのプリセットもインポート
Imported { $count } media files,{ $count }個のメディアファイルをインポートしました
Imported cards will be placed in this deck.,インポートして新たに追加するノートの追加先となるデッキを設定します。
Import even if existing note has same first field,最初のフィールドが既存のノートと同じであっても読み込む
Import/Export,インポート／エクスポート
Import failed. Debugging info:,インポートに失敗しました。デバッグ情報:
Import File,ファイルをインポート
Importing collection...,コレクションをインポート中...
Importing complete.,インポートが完了しました。
Importing file...,ファイルをインポート中...
Import Log,インポート ログ
Import options,インポートのオプション
in { $amount } days,{ $amount }日後
in { $amount } days,{ $amount }日後
in { $amount } hours,{ $amount }時間後
in { $amount } hours,{ $amount }時間
in { $amount } minutes,{ $amount }分
in { $amount } minutes,{ $amount }分
in { $amount } months,{ $amount }か月後
in { $amount } months,{ $amount }か月後
in { $amount } seconds,{ $amount }秒
in { $amount } seconds,{ $amount }秒
in { $amount } years,{ $amount }年後
in { $amount } years,{ $amount }年後
In { $days } days,{ $days }日後
In { $daysStart }-{ $daysEnd } days,{ $daysStart }-{ $daysEnd }日後
Include deck name,デッキ名を含める
Include deck presets,デッキのプリセットを含める
Include HTML and media references,HTMLとメディアの参照を含める
Include media,メディアファイルを含める
Include notetype name,ノートタイプ名を含める
Include reviews,学習履歴を含める
Include scheduling information,スケジュール情報を含める
Include tags,タグを含める
Include unique identifier,ユニークIDを含める
Increase indent,インデントを増やす
Increase today's new card limit,今日の新規カードの上限を上げる
Increase today's new card limit by,今日の新規カードの上限に上乗せ
Increase today's review card limit,今日の復習カードの上限を上げる
Increase today's review limit by,今日の復習カードの上限に上乗せ
Increasing intervals,間隔が小さい順
Increment value,値を増やす
Insertion order,配置順序
Insufficient review history to perform this operation.,この操作を行うために十分な数の復習履歴がありません。
Interday learning/review order,日をまたいだステップの習得中（再習得中）カード表示のタイミング
Interface language:,インターフェースの言語
Interrupt current audio when answering,質問の音声の再生を解答表示で停止
Interval,間隔
Interval,復習間隔
Interval modifier,復習間隔の一括調整（倍）
"In the review screen, show a timer that counts the number of seconds you're
taking to review each card.",カード学習画面に、表示中のカードの回答秒数をカウントするタイマーを表示します。
in { time-span-days },{ $amount }日後
in { time-span-hours },{ $amount }時間後
in { time-span-minutes },{ $amount }分
in { time-span-months },{ $amount }か月後
in { time-span-seconds },{ $amount }秒
in { time-span-years },{ $amount }年後
Invalid file. Please restore from backup.,ファイルが壊れています。バックアップから復元してください。
Invalid input.,無効な入力です。
Invalid input: { $details },無効な入力: { $details }
Invalid search: { $reason },無効な検索:{ $reason }
Invalid search - please check for typing mistakes.,無効な検索 - 入力ミスがないか確認してください。
Italic text,イタリック
Italic text (Ctrl+I),斜体 (Ctrl+I)
Iteration: { $count }...,反復: { $count }...
It has { $count } cards.,{ $count }枚のカードが含まれています。
It has been suspended.,休止しました。
Jump to tags with Ctrl+Shift+T,Ctrl+Shift+T でタグフィールドに移動します。
Justify,両端揃え
Keep,保存ファイル数
Keep Editing,編集を続ける
Keep notes with no valid cards,有効なカードのないノートを保持する
Language,言語
lapses,回
Lapses,復習での忘却
Lapses,復習での忘却回数
last 12 months,１年間
Last Card,最後のカード
Later,後で
Latest added first,追加時期が新しい順
Latest Review,直近の学習日
LaTeX,LaTeX
LaTeX equation,LaTeX インライン数式
LaTeX image generation is disabled in the preferences.,設定で「LaTeX画像を自動作成」が無効になっています。（[ツール]→[設定]→[学習]）
LaTeX math env.,LaTeX ディスプレイ数式
Learn,習得中
Learn,習得中
"Learn: { $learnCount }, Review: { $reviewCount }, Relearn: { $relearnCount }, Filtered: { $filteredCount }",習得中: { $learnCount }枚、復習: { $reviewCount }枚、再習得中: { $relearnCount }枚、フィルター: { $filteredCount }枚
Learn ahead limit,習得学習の前倒し許容時間
(learning),(習得中)
Learning,習得中
Learning,習得中または再習得中
Learning steps,習得ステップ
Learn More,詳細
Leech action,苦戦（忘却多発）カードへの処置
Leech threshold,苦戦（忘却多発）カードと判定する、復習での忘却回数
"Legacy timezone handling (buggy, but required for AnkiDroid <= 2.14)",旧型のタイムゾーン処理 (バグあり、ただしAnkiDroid 2.14以前のバージョンでは必須)
Light,ライト
Limits start from top,上限をメインデッキから適用
Limit to,最大
Local collection has no cards. Download from AnkiWeb?,ローカルコレクションにカードがありません。AnkiWebからダウンロードしますか？
Log In,ログイン
Log-in successful. Save preferences and sync now?,ログインに成功しました。設定を保存し、同期を開始しますか？
Log Out,ログアウト
Longest interval,最長間隔
Make the interface more compact/less fancy,インターフェースを、デフォルトよりも簡素なデザインで表示します
Manage...,管理...
Manage Note Types...,ノートタイプを管理...
Manual,手動変更
Manually Buried Cards,手動で今日は非表示にしたカード
mapped to <b>{ $val }</b>,<b>{ $val }</b> に割り当てる
mapped to <b>Tags</b>,<b>タグ</b> に割り当てる
Map to { $val },{ $val } に割り当てる
Map to Tags,タグに割り当てる
Mark Note,ノートにマーク
Mask,マスク
Match scope,重複チェックの範囲
MathJax block,MathJax ブロック数式
MathJax chemistry,MathJax 化学式
MathJax inline,MathJax インライン数式
MathJax Preview,MathJaxによる数式をプレビュー
Mature,復習 [習熟期]
Maximum answer seconds,最長回答秒数
Maximum interval,復習間隔の上限（日）
Maximum reviews/day,一日の復習枚数の上限
Media,メディア
Media,メディア
Media is not backed up. Please create a periodic backup of your Anki folder to be safe.,上記の機能ではメディア（画像／音声／動画）ファイルはバックアップされていません。データの安全のため、 Anki のフォルダのバックアップ（コピー）をご自身で定期的に作成してください。
Media Log,メディアログ
Media sync aborted.,メディア同期を中断しました。
Media sync aborting...,メディア同期を中断中...
Media sync complete.,メディアの同期が完了しました。
Media sync disabled.,メディア同期が無効化されています。
Media sync failed.,メディア同期に失敗しました。
Media Sync Log,メディア同期ログ
Media sync starting...,メディア同期開始...
Merge notetypes,ノートタイプを統合
Minimalist mode,ミニマリストモード
Minimum interval,復習再開時の復習間隔の下限（日）
Minimum recommended retention,有益な目標正答率の下限
Minimum recommended retention: { $num },有益な目標正答率の下限: { $num }
Minimum recommended retention: { $num },有益な目標正答率の下限: { $num }
mins,分
minutes,分
Minutes between automatic backups:,自動バックアップの間隔（分）
Missing: { $filename },不明：{ $filename }
Missing: { $filename },実物なし（欠落）：{ $filename }
Missing '{ $missing }',「{ $missing }」が’欠けています
Missing '{ $missing }',「{ $missing }」が’欠けています
Missing '{ $missing }' in '{ $tag }',「{ $tag }」の「{ $missing }」が欠けています
Missing '{ $missing }' in '{ $tag }',「{ $tag }」に「{ $missing }」が欠けています
Missing files: { $count },欠落しているファイル：{ $count }個
Missing files: { $count },見つからないファイル数：{ $count }
missing-media,missing-media
Mix new cards and reviews,新規カードと学習カードを混ぜる
Mix with reviews,復習に混ぜ込む
Mnemosyne 2.0 Deck (*.db),Mnemosyne 2.0 デッキ (*.db)
Monthly backups to keep:,各月代表のバックアップ保管数（何か月分）
More,その他
More information,詳細
More information,詳細
Most lapses,復習での忘却回数が多い順
Move Cards,カードを移動
Move cards to deck:,カードをデッキに移動：
Multi-character separators are not supported. Please enter one character only.,複数文字のデリミタを使用することができません。１文字のみ入力してください。
N,N
Name,名前
Name:,名前:
Name for deck:,デッキ名:
Network,ネットワーク
Network timeout,ネットワークタイムアウト
Never,常に行わない
(new),(新規)
New,新規
New,新規
New,新規
New #{ $number },新規#{ $number }
New card gather order,新規カードを集める順序
New Cards,新規カード
New cards/day,一日の新規カード導入枚数の上限
New cards ignore review limit,復習枚数の上限に関係なく新規カードを導入する
New cards in deck over today limit: { $val },デッキ内の今日の上限を超えている新規カード数：{ $val }
New cards only,新規カードのみ
New card sort order,集めた新規カードを並べる順序
New deck name:,新しいデッキ名
New interval,復習再開後の復習間隔〔前回復習比〕（倍）
"Newly-imported notes will have this notetype, and only existing notes with this
notetype will be updated.

You can choose which fields in the file correspond to which notetype fields with the
mapping tool.","インポートして新たに追加するノートのノートタイプを設定します。また、既存のノートで更新の対象となるのは、このノートタイプのノートに限られます。

ファイル内の各フィールドがノートタイプのどのフィールドに対応するかは、次のカテゴリ「フィールドの割り当て」で選択できます。"
New name:,新しい名前:
New note added,新規ノートとして追加しました
New note type:,変更後のノートタイプ:
New options group name:,新しいオプショングループ名:
New position (1...{ $val }):,新しい位置 (1...{ $val }):
New/review priority,新規カード表示のタイミング
Next day starts at,日付更新時刻
